Risk_feature,Identified_items
Illegal Subject Qualification,"- Party A lacks property ownership or subletting rights (e.g., unauthorized subletting by secondary landlords without owner consent) - Party B uses fake identification (e.g., signing contracts with forged documents)"
Missing Subject Information,"- Fails to list both parties' ID numbers, contact addresses, or phone numbers - Party B (as a company) does not provide business license information"
Property Rights Defects,"- Property lacks ownership certificate or certificate mismatches actual status - Property has mortgages, seizures, co-ownership disputes, or unresolved ownership claims"
Usage Restriction Conflicts,"- Property’s designated use conflicts with agreed purpose (e.g., residential converted to commercial use without approval) - Party B alters usage without authorization (e.g., office converted to warehouse, residential used for group rentals)"
Unreasonable Rent & Payment Terms,"- Excessively short rent payment cycles (e.g., requiring lump-sum payment for multiple years) - Overdue penalty rates exceed legal limit (30%) or lack grace period clarity"
Vague Deposit Terms,"- Unclear deposit usage, refund conditions, or timelines (e.g., missing requirements like 'settling all fees' or 'facilities in good condition') - Ambiguous deposit deduction rules (e.g., no standards for damage compensation)"
Unclear Maintenance Responsibilities,"- Fails to distinguish between main structure and ancillary facility repairs - No agreement on repair response time or cost allocation (e.g., Party A delays repairs or Party B self-repairs without approval)"
Renovation Clause Loopholes,"- Renovations not requiring Party A’s written consent - Unclear post-lease renovation ownership (e.g., whether fixed renovations remain or require compensation)"
Missing Subletting Clauses,"- Prohibits subletting but lacks breach penalties - Allows subletting but omits Party A’s approval process or sub-tenant qualifications"
Vague Force Majeure & Termination,"- Narrow force majeure scope (e.g., excludes pandemics, policy adjustments) - Early termination lacks clear notice period or penalty standards (e.g., sudden termination without buffer)"
Expense Liability Disputes,"- Unclear responsibility for utilities, property fees, etc. - Omits shared costs or taxes (e.g., commercial property taxes)"
Non-compliant Handover,"- No signed Handover Checklist or incomplete facility condition records (e.g., furniture/appliance status) - Fails to verify keys, access cards, etc., during handover"
Rent & Fee Arrears,"- No measures for prolonged rent defaults (e.g., missing demand notices before termination) - Party A’s delayed collection exceeding statute of limitations"
Safety & Liability Issues,"- Unassigned safety responsibilities (e.g., fire/electrical hazards from Party B’s actions) - Property defects (e.g., leaks, wall cracks) causing losses to Party B or third parties"
Improper Jurisdiction,"- Jurisdiction court unrelated to contract performance location or parties’ residences (increasing litigation costs) - Violates hierarchical jurisdiction rules (e.g., directly assigning intermediate courts for minor cases)"
Unfair or Illegal Terms,"- Exempts one party’s key rights (e.g., 'Party A may reclaim property without compensation') - Violates mandatory laws (e.g., deposit exceeding 20% of annual rent, unlimited rent hikes)"
