checkpoint,clause
"House Rental Contract","Lessor(Party A): Zhang San Tel: 12312312345"
"House Rental Contract","Lessee(Party B): Li Si ID Card No.: 123412199405064321"
"House Rental Contract","This house rental contract is established for the Lessor to deliver the house to the Lessee for use and benefit, and the Lessee to pay the rent. In accordance with the Contract Law of the People's Republic of China and relevant laws, through mutual negotiation, the two parties agree on the lease of the following house as follows:"
"Premises Description","The house leased by Party A(hereinafter referred to as""the Premises"") is located at Room 304, Building 18,Zhongnan Century City,Yinzhou District, Ningbo City.The structure of the house is a frame structure, and its nature is office space. The Premises shall be used for office and business operations. Unless otherwise agreed by both parties, Party B shall not change the purpose of the Premises."
"Premises Description","Usage Restrictions:Party B shall ensure that during the lease term, the premises shall not be used for business activities violating laws and regulations, and the registered address on the business license must match the leased premises address."
"Lease Term and Rent","Lease Period: From March 15,2018, to March 14,2023, totaling a five-year lease term."
"Lease Term and Rent","Annual Rent: RMB Sixty-seven Thousand Two Hundred Yuan(￥67,200)."
"Lease Term and Rent","Security Deposit: Party B shall pay a security deposit of RMB Ten Thousand Yuan(￥10,000), which will be refunded by Party A without interest upon the expiration of the lease."
"Lease Term and Rent","Refund Condition: The deposit shall be refunded without interest within 5 working days after the lease expires, provided that: i. Party B has vacated the premises and returned the keys; ii. The premises and facilities are intact(normal wear and tear excepted); iii. All fees(rent, utilities, etc.) have been fully settled."
"Payment Terms","Party B shall pay the full annual rent in a lump sum on the date of signing this contract.For subsequent years, Party B shall pay the full annual rent for the next lease year before the anniversary date of the contract signing."
"Payment Terms","If the rent is overdue for one month, Party B must pay a penalty equal to 5% of the annual rent to Party A. If the rent is overdue for two months, Party A has the right to terminate the contract, and Party B shall bear all corresponding liabilities for breach of contract."
"Payment Terms","Payment Method: Annual rent shall be paid in full on or before the contract signing anniversary date(March 15 each year)."
"Payment Terms","Grace Period: A 7-day grace period is granted for rent payment. If overdue beyond the grace period: - 1-30 days late: Party B shall pay a daily penalty of 0.05%of the annual rent(￥33.6/day)."
"Payment Terms","Over 30 days late: Party A may terminate the contract after written notice, and Party B shall compensate Party A for actual losses(including but not limited to legal fees)."
"Payment Terms","Payment Method: Rent and deposits shall be paid via bank transfer to Party A' s designated account: Bank: Bank of China Account Name: Zhang San Account No.: 1231231234567654321"
"Early Termination","If either party terminates the contract prematurely during the lease term, it shall pay two months' rent as liquidated damages to the other party. If the contract is terminated due to government requisition or demolition, neither party shall be liable to the other."
"Early Termination","Termination Notice: Either party may terminate the contract early by providing at least 2 months' written notice and paying liquidated damages of 2 months' rent(￥11,200)."
"Early Termination","Government Requisition/Demolition: If the premises are requisitioned or demolished by the government, the contract shall terminate automatically. Compensation: Party B shall be entitled to claim direct losses caused by the demolition(e.g., unrecovered Fit-out Cos,relocation fees), as stipulated by local government regulations."
"Expenses","All expenses related to the Premises during the lease term shall be bome by Party B."
"Expenses","Party B shall bear all expenses, including but not limited to: Utilities(water, electricity, gas, internet, property management fees); Taxes and fees related to business operations(if applicable)."
"Maintenance Obligations","Party A is obligated to repair any quality issues with the main structure of the house.However, if the quality issues are caused by Party B's actions, Party A shall not bear the repair obligation."
"Maintenance Obligations","Party A' s Responsibility: Repair structural defects(e.g., load-bearing walls,foundations, roof leaks) within 7 days of receiving Party B' s written notice. Costs shall be borne by Party A. For non-structural issues(e.g., plumbing, electrical faults caused by aging), Party A shall coordinate repairs at Party B' s cost."
